year,fc_geoid,fc_geo_type,census_denom_year,crime_prop_num,crime_viol_num,crime_all_num,population,crime_prop_rt,crime_viol_rt,crime_all_rt
2006,36005042200,tract,2000,26,16,42,2694,9.651076466,5.939123979,15.59020045
2006,36005042300,tract,2000,36,20,56,3778,9.528851244,5.293806247,14.82265749
2006,36005042400,tract,2000,50,62,112,2570,19.45525292,24.12451362,43.57976654
2006,36005042500,tract,2000,159,140,299,6530,24.34915773,21.43950995,45.78866769
2006,36005042600,tract,2000,32,16,48,6470,4.945904173,2.472952087,7.41885626
2006,36005042800,tract,2000,11,11,22,2239,4.912907548,4.912907548,9.825815096
2006,36005042901,tract,2000,22,11,33,3231,6.80903745,3.404518725,10.21355617
2006,36005042902,tract,2000,24,18,42,3675,6.530612245,4.897959184,11.42857143
2006,36005043000,tract,2000,15,11,26,2961,5.06585613,3.714961162,8.780817291
2006,36005043100,tract,2000,57,35,92,9816,5.806845966,3.565607172,9.372453138
2006,36005043200,tract,2000,30,23,53,2772,10.82251082,8.297258297,19.11976912
2006,36005043500,tract,2000,53,16,69,69,768.115942,231.884058,1000
2006,36005043600,tract,2000,17,4,21,2334,7.283633248,1.713796058,8.997429306
2006,36005043800,tract,2000,8,17,25,2990,2.675585284,5.685618729,8.361204013
2006,36005044000,tract,2000,11,12,23,984,11.17886179,12.19512195,23.37398374
