"","year","fc_geoid","fc_geo_type","violation_class","viol"
"455",2012,"36005013500","tract","C",50
"456",2012,"36005013800","tract","B",11
"457",2012,"36005013800","tract","C",6
"458",2012,"36005014100","tract","A",49
"459",2012,"36005014100","tract","B",220
"460",2012,"36005014100","tract","C",63
"461",2012,"36005014300","tract","A",15
"462",2012,"36005014300","tract","B",67
"463",2012,"36005014300","tract","C",11
"464",2012,"36005014400","tract","A",9
"465",2012,"36005014400","tract","B",48
"466",2012,"36005014400","tract","C",7
"467",2012,"36005014500","tract","A",159
"468",2012,"36005014500","tract","B",310
"469",2012,"36005014500","tract","C",79
"470",2012,"36005014701","tract","A",15
"471",2012,"36005014701","tract","B",37
"472",2012,"36005014701","tract","C",8
"473",2012,"36005014702","tract","A",5
"474",2012,"36005014702","tract","B",14
"475",2012,"36005014702","tract","C",11
"476",2012,"36005014900","tract","A",78
"477",2012,"36005014900","tract","B",209
"478",2012,"36005014900","tract","C",90
"479",2012,"36005015100","tract","A",133
"480",2012,"36005015100","tract","B",392
"481",2012,"36005015100","tract","C",133
"482",2012,"36005015200","tract","B",10
"483",2012,"36005015200","tract","C",3
"484",2012,"36005015300","tract","A",81
"485",2012,"36005015300","tract","B",222
"486",2012,"36005015300","tract","C",48
"487",2012,"36005015500","tract","A",25
"488",2012,"36005015500","tract","B",64
"489",2012,"36005015500","tract","C",26
"490",2012,"36005015700","tract","A",54
"491",2012,"36005015700","tract","B",211
"492",2012,"36005015700","tract","C",50
"493",2012,"36005015800","tract","C",2
"494",2012,"36005015900","tract","A",25
"495",2012,"36005015900","tract","B",36
"496",2012,"36005015900","tract","C",17
"497",2012,"36005016000","tract","A",10
"498",2012,"36005016000","tract","B",10
"499",2012,"36005016000","tract","C",3
"500",2012,"36005016100","tract","A",85
"501",2012,"36005016100","tract","B",206
"502",2012,"36005016100","tract","C",51
"503",2012,"36005016200","tract","A",1
"504",2012,"36005016200","tract","B",1
"505",2012,"36005016200","tract","C",4
"506",2012,"36005016500","tract","A",16
"507",2012,"36005016500","tract","B",39
"508",2012,"36005016500","tract","C",14
"509",2012,"36005016600","tract","A",11
"510",2012,"36005016600","tract","B",13
"511",2012,"36005016700","tract","A",10
"512",2012,"36005016700","tract","B",42
"513",2012,"36005016700","tract","C",10
"514",2012,"36005016900","tract","A",3
"515",2012,"36005016900","tract","B",19
"516",2012,"36005016900","tract","C",16
"517",2012,"36005017300","tract","A",69
"518",2012,"36005017300","tract","B",182
"519",2012,"36005017300","tract","C",68
"520",2012,"36005017500","tract","A",174
"521",2012,"36005017500","tract","B",448
"522",2012,"36005017500","tract","C",160
"523",2012,"36005017701","tract","A",368
"524",2012,"36005017701","tract","B",867
"525",2012,"36005017701","tract","C",221
"526",2012,"36005017702","tract","A",104
"527",2012,"36005017702","tract","B",380
"528",2012,"36005017702","tract","C",154
"529",2012,"36005017901","tract","A",171
"530",2012,"36005017901","tract","B",426
"531",2012,"36005017901","tract","C",133
"532",2012,"36005017902","tract","A",99
"533",2012,"36005017902","tract","B",310
"534",2012,"36005017902","tract","C",69
"535",2012,"36005018101","tract","A",68
"536",2012,"36005018101","tract","B",251
"537",2012,"36005018101","tract","C",88
"538",2012,"36005018102","tract","A",161
"539",2012,"36005018102","tract","B",493
"540",2012,"36005018102","tract","C",103
"541",2012,"36005018301","tract","A",66
"542",2012,"36005018301","tract","B",174
"543",2012,"36005018301","tract","C",58
"544",2012,"36005018302","tract","A",81
"545",2012,"36005018302","tract","B",323
"546",2012,"36005018302","tract","C",61
"547",2012,"36005018400","tract","A",2
"548",2012,"36005018400","tract","B",9
"549",2012,"36005018500","tract","A",118
"550",2012,"36005018500","tract","B",317
"551",2012,"36005018500","tract","C",123
"552",2012,"36005018900","tract","A",220
"553",2012,"36005018900","tract","B",646
"554",2012,"36005018900","tract","C",188
"555",2012,"36005019300","tract","A",92
"556",2012,"36005019300","tract","B",257
"557",2012,"36005019300","tract","C",60
"558",2012,"36005019400","tract","A",14
"559",2012,"36005019400","tract","B",51
"560",2012,"36005019400","tract","C",38
"561",2012,"36005019500","tract","A",180
"562",2012,"36005019500","tract","B",539
"563",2012,"36005019500","tract","C",169
"564",2012,"36005019700","tract","A",159
"565",2012,"36005019700","tract","B",478
"566",2012,"36005019700","tract","C",134
"567",2012,"36005019900","tract","A",129
"568",2012,"36005019900","tract","B",268
"569",2012,"36005019900","tract","C",92
"570",2012,"36005020000","tract","A",33
"571",2012,"36005020000","tract","B",126
"572",2012,"36005020000","tract","C",21
"573",2012,"36005020100","tract","A",174
"574",2012,"36005020100","tract","B",416
"575",2012,"36005020100","tract","C",114
"576",2012,"36005020200","tract","A",15
"577",2012,"36005020200","tract","B",67
"578",2012,"36005020200","tract","C",25
"579",2012,"36005020400","tract","A",18
"580",2012,"36005020400","tract","B",82
"581",2012,"36005020400","tract","C",21
"582",2012,"36005020501","tract","A",45
"583",2012,"36005020501","tract","B",131
"584",2012,"36005020501","tract","C",27
"585",2012,"36005020502","tract","A",34
"586",2012,"36005020502","tract","B",109
"587",2012,"36005020502","tract","C",16
"588",2012,"36005020601","tract","A",2
"589",2012,"36005020601","tract","B",17
"590",2012,"36005020601","tract","C",7
"591",2012,"36005020900","tract","A",60
"592",2012,"36005020900","tract","B",224
"593",2012,"36005020900","tract","C",49
"594",2012,"36005021001","tract","A",18
"595",2012,"36005021001","tract","B",37
"596",2012,"36005021001","tract","C",13
"597",2012,"36005021002","tract","A",12
"598",2012,"36005021002","tract","B",23
"599",2012,"36005021002","tract","C",3
"600",2012,"36005021100","tract","A",89
"601",2012,"36005021100","tract","B",244
"602",2012,"36005021100","tract","C",59
"603",2012,"36005021200","tract","A",2
"604",2012,"36005021200","tract","B",15
"605",2012,"36005021301","tract","A",14
"606",2012,"36005021301","tract","B",29
"607",2012,"36005021301","tract","C",8
"608",2012,"36005021302","tract","A",190
"609",2012,"36005021302","tract","B",499
"610",2012,"36005021302","tract","C",83
"611",2012,"36005021501","tract","A",21
"612",2012,"36005021501","tract","B",97
"613",2012,"36005021501","tract","C",12
"614",2012,"36005021502","tract","A",190
"615",2012,"36005021502","tract","B",368
"616",2012,"36005021502","tract","C",128
"617",2012,"36005021601","tract","A",109
"618",2012,"36005021601","tract","B",284
"619",2012,"36005021601","tract","C",83
"620",2012,"36005021602","tract","A",3
"621",2012,"36005021602","tract","B",31
"622",2012,"36005021602","tract","C",2
"623",2012,"36005021700","tract","A",137
"624",2012,"36005021700","tract","B",425
"625",2012,"36005021700","tract","C",78
"626",2012,"36005021800","tract","A",192
"627",2012,"36005021800","tract","B",584
"628",2012,"36005021800","tract","C",147
"629",2012,"36005021900","tract","A",21
"630",2012,"36005021900","tract","B",29
"631",2012,"36005021900","tract","C",10
"632",2012,"36005022000","tract","A",41
"633",2012,"36005022000","tract","B",134
"634",2012,"36005022000","tract","C",29
"635",2012,"36005022101","tract","A",37
"636",2012,"36005022101","tract","B",75
"637",2012,"36005022101","tract","C",25
"638",2012,"36005022102","tract","A",292
"639",2012,"36005022102","tract","B",841
"640",2012,"36005022102","tract","C",197
"641",2012,"36005022200","tract","A",21
"642",2012,"36005022200","tract","B",66
